userName,at,content
Pengguna Google,2024-12-09 14:49:30,Parah banyak gangguan
Pengguna Google,2024-12-09 14:48:12,Keseringan eror aneh
Pengguna Google,2024-12-09 14:47:48,Aplikasi minim figur Tidak ada fitur tarik/setor tunai tanpa kartu.
Pengguna Google,2024-12-09 14:47:25,"Udah bener pake mobile banking BNI pake segala ganti2 wondr mending bagus ini lemot bgt sering error' pula, orang mah perbaiki aja aplikasi lama malah pake wondr makin parahhhhh monyet rating lu aja 3,9 harus nunggu turun berapa wkwkwk"
Pengguna Google,2024-12-09 14:45:46,Mudah eror/ Apk penuh kendala
Pengguna Google,2024-12-09 14:45:05,"Bagus,tapi tolong jangan sering bgt gangguan ,sanggat menggangu saat untuk transaksi,jadi kendala."
Pengguna Google,2024-12-09 14:43:19,"jelek, banyak gangguan, error, sesi berakhir sesi berakhir, malu maluin lagi pesen makan wondr nya gabisa kebuka sumpah malu maluin"
Pengguna Google,2024-12-09 14:40:04,"Aplikasi sering eror. Sesi tidak tersedia, coba lagi. Mutasi transfer masuk cuma ditulis transfer aja. Gak ada nama jelas dari pengirim nya. Jadi gak tau dari mana kita dapat transfer an. Saya rasa kurang bagus dan lengkap. Mohon diperbaiki dan ditingkatkan. Kalau gak bisa lebih baik jangan buat aplikasi mbanking. Daripada malah menyusahkan orang."
Pengguna Google,2024-12-09 14:39:41,"aplikasi gajelas, rusak"
Pengguna Google,2024-12-09 14:37:48,Kok ganggu an trus knpaa yhaa
Pengguna Google,2024-12-09 14:37:02,Sering gangguan dan maintenance Mulu kenapa dah
Pengguna Google,2024-12-09 14:35:41,"Aplikasi bagus,mudah untuk transaksi tapi begitu sering gangguan mempersulit ketika ingin meng aksesnya"
Pengguna Google,2024-12-09 14:35:30,"Sangat kurang sekali, sudah login dan masuk akun pas keluar aplikasi kemudian mencoba masuk apk lagi tiba2 ngak bisa, bagusan aplikasi yang terlama daripada yang ini, selalu keluar sendiri dari aplikasi saat login"
Pengguna Google,2024-12-09 14:35:03,"apasih gabisa di buka, gangguan terus, masa mbanking kaca gini sih"
Pengguna Google,2024-12-09 14:34:57,Akirr² ini sering meintenant
