content,case_folding,cleansing,normalized_reviews
Perbaikan trus.. bosan pakek nya,perbaikan trus.. bosan pakek nya,perbaikan trus bosan pakek nya,perbaikan terus bosan pakai nya
Setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi.,setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi.,setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi,setiap cuaca hujan aplikasi ini tidak dapat melakukan transaksi
Aplikasi eror mulu,aplikasi eror mulu,aplikasi eror mulu,aplikasi eror mulu
Sangat memuaskan,sangat memuaskan,sangat memuaskan,sangat memuaskan
parah.. terlalu banyak update.. mau login pun susah. sudah pake sidik jari alasannya beda sidik jarinya. login pakai pin tp malah keluar sendiri dari aplikasi. mending pakai bni mobile banking. cpt dan gak lemot seperti wondr,parah.. terlalu banyak update.. mau login pun susah. sudah pake sidik jari alasannya beda sidik jarinya. login pakai pin tp malah keluar sendiri dari aplikasi. mending pakai bni mobile banking. cpt dan gak lemot seperti wondr,parah terlalu banyak update mau login pun susah sudah pake sidik jari alasannya beda sidik jarinya login pakai pin tp malah keluar sendiri dari aplikasi mending pakai bni mobile banking cpt dan gak lemot seperti wondr,parah terlalu banyak update mau login pun susah sudah pakai sidik jari alasannya beda sidik jarinya login pakai pin tapi malah keluar sendiri dari aplikasi mending pakai bni mobile banking cepat dan enggak lemot seperti wondr
Gangguan mulu lah Gak jelas.,gangguan mulu lah gak jelas.,gangguan mulu lah gak jelas,gangguan mulu lah enggak jelas
Good,good,good,good
"Semakin parah sadis,,,,jadi sering gangguan","semakin parah sadis,,,,jadi sering gangguan",semakin parah sadisjadi sering gangguan,semakin parah sadisjadi sering gangguan
Di saat genting begini malah eror. eror terus sih ini. pasti lama lagi dah bisa sampe 24 jam ampun dah,di saat genting begini malah eror. eror terus sih ini. pasti lama lagi dah bisa sampe 24 jam ampun dah,di saat genting begini malah eror eror terus sih ini pasti lama lagi dah bisa sampe  jam ampun dah,di saat genting begini malah eror eror terus sih ini pasti lama lagi deh bisa sampai jam ampun deh
"Tolong dong, eror trss banyak bgt kendala, saya jdi susah ambil uang","tolong dong, eror trss banyak bgt kendala, saya jdi susah ambil uang",tolong dong eror trss banyak bgt kendala saya jdi susah ambil uang,tolong dong eror trss banyak banget kendala saya jadi susah ambil uang
Susah login,susah login,susah login,susah login
Lemot susah login parah muter2 terus,lemot susah login parah muter2 terus,lemot susah login parah muter terus,lemot susah login parah muter terus
"Lbh nyaman APK BNI dulu dr. Pd yg skrg kek taikkk.. Banyak gangguan nya, merasa tdk nyaman ntk digunakan","lbh nyaman apk bni dulu dr. pd yg skrg kek taikkk.. banyak gangguan nya, merasa tdk nyaman ntk digunakan",lbh nyaman apk bni dulu dr pd yg skrg kek taikkk banyak gangguan nya merasa tdk nyaman ntk digunakan,lebih nyaman apk bni dulu dari pada yang sekarang kayak taikkk banyak gangguan nya merasa tidak nyaman ntk digunakan
"Selalu gangguan,lelet skali Masih bagus BNI MOBILE BANKING","selalu gangguan,lelet skali masih bagus bni mobile banking",selalu gangguanlelet skali masih bagus bni mobile banking,selalu gangguanlelet sekali masih bagus bni mobile banking
Apaan bgt wonder sekarang mending BNI dulu dah bentar bentar sedang di perbaiki sedang di perbaiki sering banget eror,apaan bgt wonder sekarang mending bni dulu dah bentar bentar sedang di perbaiki sedang di perbaiki sering banget eror,apaan bgt wonder sekarang mending bni dulu dah bentar bentar sedang di perbaiki sedang di perbaiki sering banget eror,apaan banget wonder sekarang mending bni dulu deh bentar bentar sedang di perbaiki sedang di perbaiki sering banget eror
"apaan dah, tiap malam susah banget ngaksesnya, tau gini mending pake aplikasi sebelah","apaan dah, tiap malam susah banget ngaksesnya, tau gini mending pake aplikasi sebelah",apaan dah tiap malam susah banget ngaksesnya tau gini mending pake aplikasi sebelah,apaan deh tiap malam susah banget ngaksesnya tau begini mending pakai aplikasi sebelah
"hadeh tiap mau transaksi sering error, kurang""in dah","hadeh tiap mau transaksi sering error, kurang""in dah",hadeh tiap mau transaksi sering error kurangin dah,hadeh tiap mau transaksi sering error kurangi deh
Ga bisa diandalkan,ga bisa diandalkan,ga bisa diandalkan,enggak bisa diandalkan
Kenapa sering terjadi kesalahan saat ingin login dan transaksi ?? Apakah aplikasi ini sudah sempurna ??? Sehingga nasabah di sarankan pindah dari mobile bni ke wondr?? Belakangan sering terjadi kesalahan saat login dan transaksi sangat menganggu aktvitas pembayaran Di era digital kebanyakan transaksi menggunakan mobile tapi jikalau aplikasi seperti ini terus lebih mending ganti bank lain aja gak mana atm sering bgttt kosong gk ada uangnyaa susah bgtt yaa,kenapa sering terjadi kesalahan saat ingin login dan transaksi ?? apakah aplikasi ini sudah sempurna ??? sehingga nasabah di sarankan pindah dari mobile bni ke wondr?? belakangan sering terjadi kesalahan saat login dan transaksi sangat menganggu aktvitas pembayaran di era digital kebanyakan transaksi menggunakan mobile tapi jikalau aplikasi seperti ini terus lebih mending ganti bank lain aja gak mana atm sering bgttt kosong gk ada uangnyaa susah bgtt yaa,kenapa sering terjadi kesalahan saat ingin login dan transaksi  apakah aplikasi ini sudah sempurna  sehingga nasabah di sarankan pindah dari mobile bni ke wondr belakangan sering terjadi kesalahan saat login dan transaksi sangat menganggu aktvitas pembayaran di era digital kebanyakan transaksi menggunakan mobile tapi jikalau aplikasi seperti ini terus lebih mending ganti bank lain aja gak mana atm sering bgttt kosong gk ada uangnyaa susah bgtt yaa,kenapa sering terjadi kesalahan saat ingin login dan transaksi apakah aplikasi ini sudah sempurna sehingga nasabah di sarankan pindah dari mobile bni ke wondr belakangan sering terjadi kesalahan saat login dan transaksi sangat menganggu aktvitas pembayaran di era digital kebanyakan transaksi menggunakan mobile tapi jikalau aplikasi seperti ini terus lebih mending ganti bank lain saja enggak mana atm sering banget kosong enggak ada uangnyaa susah banget ya
Catatan nya semakin sering di pakai buat transaksi virtual ataupun e-wallet semakin lama loading nya,catatan nya semakin sering di pakai buat transaksi virtual ataupun e-wallet semakin lama loading nya,catatan nya semakin sering di pakai buat transaksi virtual ataupun ewallet semakin lama loading nya,catatan nya semakin sering di pakai buat transaksi virtual ataupun ewallet semakin lama loading nya
Butut,butut,butut,butut
